"País de nacimiento Agresor","Suicidio","Convivencia","Denuncia agresor","Tramo de edad Agresor","Tramo de edad Víctima","Comunidad autónoma","Pareja - Expareja","Año","Mes","Número de mujeres víctimas mortales","Número de hijos e hijas menores huérfanos"
"España","No hubo tentativa","Sí","No consta denuncia","No consta","No consta","Comunitat Valenciana","Pareja","Año 2003","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No consta denuncia","No consta","No consta","Galicia","Pareja","Año 2004","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No consta denuncia","No consta","No consta","Comunidad de Madrid","Pareja","Año 2005","Marzo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","18-20 años","18-20 años","Comunidad de Madrid","Expareja","Año 2022","Julio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","18-20 años","21-30 años","Cataluña","Expareja","Año 2006","Febrero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","16-17 años","Andalucía","Pareja","Año 2006","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","18-20 años","Andalucía","Pareja","Año 2011","Julio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","18-20 años","Comunitat Valenciana","Expareja","Año 2007","Mayo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Andalucía","Expareja","Año 2013","Junio","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Castilla y León","Pareja","Año 2008","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Castilla-La Mancha","Expareja","Año 2015","Agosto","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Castilla-La Mancha","Pareja","Año 2008","Diciembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Cataluña","Expareja","Año 2008","Marzo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Cataluña","Expareja","Año 2023","Julio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Comunitat Valenciana","Pareja","Año 2021","Diciembre","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Galicia","Pareja","Año 2020","Enero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Comunidad de Madrid","Expareja","Año 2016","Mayo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","21-30 años","Comunidad de Madrid","Pareja","Año 2016","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","31-40 años","Castilla y León","Expareja","Año 2021","Abril","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","21-30 años","31-40 años","Galicia","Pareja en fase de separación","Año 2016","Febrero","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Andalucía","Expareja","Año 2013","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Andalucía","Pareja en fase de separación","Año 2011","Mayo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Principado de Asturias","Pareja","Año 2007","Junio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Canarias","Expareja","Año 2015","Julio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Canarias","Pareja","Año 2006","Diciembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Canarias","Pareja","Año 2012","Abril","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Castilla y León","Expareja","Año 2010","Marzo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Castilla y León","Expareja","Año 2012","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Comunitat Valenciana","Expareja","Año 2013","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Galicia","Expareja","Año 2015","Julio","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Comunidad de Madrid","Expareja","Año 2007","Agosto","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","21-30 años","Región de Murcia","Pareja en fase de separación","Año 2008","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Andalucía","Expareja","Año 2007","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Andalucía","Expareja","Año 2010","Mayo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Andalucía","Expareja","Año 2020","Febrero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Illes Balears","Pareja en fase de separación","Año 2020","Noviembre","1.0","4.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Canarias","Expareja","Año 2022","Julio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Castilla y León","Expareja","Año 2014","Marzo","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Castilla y León","Pareja","Año 2006","Abril","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Cataluña","Expareja","Año 2013","Marzo","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Cataluña","Pareja","Año 2008","Julio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Cataluña","Pareja","Año 2012","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Expareja","Año 2013","Enero","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Galicia","Expareja","Año 2015","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Comunidad de Madrid","Expareja","Año 2010","Enero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","Comunidad de Madrid","Pareja en fase de separación","Año 2009","Febrero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","País Vasco","Expareja","Año 2014","Marzo","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","País Vasco","Pareja","Año 2015","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","31-40 años","La Rioja","Expareja","Año 2009","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","41-50 años","Canarias","Pareja","Año 2016","Diciembre","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","41-50 años","Galicia","Expareja","Año 2007","Diciembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","41-50 años","Galicia","Expareja","Año 2008","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","41-50 años","Galicia","Pareja","Año 2015","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","31-40 años","41-50 años","Comunidad de Madrid","Expareja","Año 2014","Febrero","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","21-30 años","Andalucía","Expareja","Año 2011","Mayo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","21-30 años","Illes Balears","Expareja","Año 2006","Enero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","21-30 años","Galicia","Expareja","Año 2008","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Andalucía","Expareja","Año 2021","Diciembre","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Andalucía","Pareja","Año 2019","Julio","1.0","4.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Principado de Asturias","Expareja","Año 2008","Julio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Illes Balears","Expareja","Año 2018","Noviembre","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Canarias","Expareja","Año 2009","Marzo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Canarias","Expareja","Año 2013","Febrero","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Cataluña","Expareja","Año 2007","Enero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Comunitat Valenciana","Expareja","Año 2015","Febrero","1.0","3.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Galicia","Expareja","Año 2019","Septiembre","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","31-40 años","Galicia","Pareja en fase de separación","Año 2011","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Andalucía","Pareja en fase de separación","Año 2019","Enero","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Principado de Asturias","Pareja","Año 2018","Marzo","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Castilla y León","Pareja","Año 2013","Septiembre","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Castilla y León","Pareja","Año 2021","Febrero","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Cataluña","Expareja","Año 2008","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Cataluña","Expareja","Año 2012","Diciembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Comunitat Valenciana","Pareja en fase de separación","Año 2019","Julio","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Galicia","Expareja","Año 2023","Febrero","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Comunidad de Madrid","Expareja","Año 2014","Marzo","1.0","2.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","41-50 años","Comunidad de Madrid","Expareja","Año 2021","Marzo","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","51-60 años","Comunitat Valenciana","Pareja","Año 2010","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","41-50 años","51-60 años","Comunidad de Madrid","Expareja","Año 2011","Diciembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","31-40 años","Cataluña","Pareja","Año 2010","Junio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","31-40 años","Galicia","Expareja","Año 2010","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","41-50 años","Andalucía","Expareja","Año 2009","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","41-50 años","Andalucía","Expareja","Año 2012","Enero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","41-50 años","Principado de Asturias","Pareja en fase de separación","Año 2021","Mayo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","41-50 años","Illes Balears","Pareja en fase de separación","Año 2014","Julio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","41-50 años","Canarias","Expareja","Año 2019","Enero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","41-50 años","Castilla y León","Expareja","Año 2016","Noviembre","1.0","1.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","41-50 años","Castilla y León","Pareja en fase de separación","Año 2011","Agosto","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","41-50 años","Castilla y León","Pareja en fase de separación","Año 2016","Julio","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","41-50 años","Comunitat Valenciana","Pareja","Año 2017","Febrero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","51-60 años","51-60 años","Cataluña","Pareja","Año 2007","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","61-70 años","51-60 años","Andalucía","Expareja","Año 2009","Febrero","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","61-70 años","51-60 años","Castilla y León","Pareja","Año 2008","Marzo","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","61-70 años","61-70 años","Cataluña","Expareja","Año 2017","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia",">=85 años","41-50 años","Illes Balears","Pareja en fase de separación","Año 2010","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No había denuncia","No consta","41-50 años","Castilla y León","Expareja","Año 2006","Marzo","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","21-30 años","18-20 años","Región de Murcia","Expareja","Año 2017","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","21-30 años","21-30 años","Andalucía","Expareja","Año 2014","Julio","1.0","1.0"
"España","No hubo tentativa","No","Había denuncia","21-30 años","21-30 años","Comunitat Valenciana","Expareja","Año 2007","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","21-30 años","21-30 años","Región de Murcia","Expareja","Año 2006","Enero","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","18-20 años","Galicia","Expareja","Año 2009","Agosto","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","21-30 años","Andalucía","Expareja","Año 2011","Diciembre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","21-30 años","Cataluña","Expareja","Año 2009","Marzo","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","21-30 años","Galicia","Expareja","Año 2012","Junio","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","21-30 años","Comunidad de Madrid","Expareja","Año 2007","Abril","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","31-40 años","Andalucía","Pareja","Año 2007","Febrero","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","31-40 años","Andalucía","Pareja en fase de separación","Año 2015","Diciembre","1.0","2.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","31-40 años","Canarias","Expareja","Año 2015","Octubre","1.0","3.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Expareja","Año 2007","Febrero","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","31-40 años","País Vasco","Pareja en fase de separación","Año 2023","Mayo","1.0","1.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","41-50 años","Comunitat Valenciana","Expareja","Año 2017","Febrero","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","31-40 años","41-50 años","Comunidad de Madrid","Expareja","Año 2013","Noviembre","1.0","1.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","31-40 años","Andalucía","Expareja","Año 2006","Enero","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","31-40 años","Andalucía","Expareja","Año 2013","Noviembre","1.0","1.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","31-40 años","Andalucía","Expareja","Año 2018","Septiembre","1.0","1.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","31-40 años","Andalucía","Pareja en fase de separación","Año 2011","Febrero","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","31-40 años","Cantabria","Expareja","Año 2021","Diciembre","1.0","1.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","31-40 años","Galicia","Pareja","Año 2014","Febrero","1.0","4.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","31-40 años","Comunidad de Madrid","Pareja en fase de separación","Año 2023","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Andalucía","Expareja","Año 2006","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Andalucía","Expareja","Año 2011","Marzo","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Andalucía","Expareja","Año 2011","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Andalucía","Expareja","Año 2016","Julio","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Andalucía","Pareja en fase de separación","Año 2011","Enero","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Canarias","Expareja","Año 2009","Mayo","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Canarias","Expareja","Año 2020","Julio","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Comunitat Valenciana","Expareja","Año 2007","Junio","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Comunitat Valenciana","Expareja","Año 2015","Noviembre","1.0","1.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","41-50 años","Comunidad Foral de Navarra","Expareja","Año 2018","Octubre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","51-60 años","Andalucía","Pareja","Año 2019","Junio","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","41-50 años","51-60 años","Cataluña","Expareja","Año 2021","Diciembre","1.0","1.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","21-30 años","Cataluña","Expareja","Año 2021","Julio","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","31-40 años","Andalucía","Expareja","Año 2017","Junio","1.0","2.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","31-40 años","Andalucía","Expareja","Año 2018","Octubre","1.0","2.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","31-40 años","Aragón","Expareja","Año 2023","Marzo","1.0","1.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","31-40 años","Cataluña","Pareja en fase de separación","Año 2017","Febrero","1.0","5.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","31-40 años","Comunitat Valenciana","Pareja en fase de separación","Año 2011","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","41-50 años","Andalucía","Pareja en fase de separación","Año 2008","Febrero","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","41-50 años","Comunitat Valenciana","Expareja","Año 2008","Febrero","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","41-50 años","Comunidad Foral de Navarra","Expareja","Año 2008","Octubre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","51-60 años","Andalucía","Expareja","Año 2010","Marzo","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","51-60 años","Cataluña","Pareja","Año 2014","Marzo","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","51-60 años","Comunitat Valenciana","Expareja","Año 2006","Diciembre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","51-60 años","51-60 años","Comunidad de Madrid","Pareja en fase de separación","Año 2011","Marzo","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","61-70 años","41-50 años","Andalucía","Expareja","Año 2010","Julio","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","71-84 años","61-70 años","Andalucía","Expareja","Año 2008","Mayo","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","71-84 años","61-70 años","Cataluña","Expareja","Año 2011","Mayo","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","71-84 años","61-70 años","Extremadura","Pareja en fase de separación","Año 2013","Agosto","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","71-84 años","71-84 años","Aragón","Pareja en fase de separación","Año 2022","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","Había denuncia","No consta","31-40 años","Andalucía","Expareja","Año 2006","Junio","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","16-17 años","No consta","País Vasco","Expareja","Año 2004","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","18-20 años","<16 años","Región de Murcia","Pareja","Año 2004","Julio","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","21-30 años","18-20 años","Andalucía","Expareja","Año 2004","Mayo","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","21-30 años","18-20 años","Comunitat Valenciana","Expareja","Año 2004","Junio","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","21-30 años","21-30 años","Andalucía","Expareja","Año 2005","Febrero","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","21-30 años","21-30 años","Principado de Asturias","Pareja","Año 2005","Agosto","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","21-30 años","21-30 años","Illes Balears","Pareja","Año 2005","Enero","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","21-30 años","21-30 años","País Vasco","Expareja","Año 2005","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","31-40 años","21-30 años","La Rioja","Expareja","Año 2003","Febrero","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","31-40 años","31-40 años","Andalucía","Expareja","Año 2004","Marzo","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","31-40 años","31-40 años","Cantabria","Expareja","Año 2004","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","41-50 años","31-40 años","Andalucía","Expareja","Año 2004","Julio","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","41-50 años","31-40 años","Illes Balears","Expareja","Año 2004","Enero","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","41-50 años","31-40 años","Canarias","Expareja","Año 2003","Diciembre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","41-50 años","31-40 años","Castilla-La Mancha","Expareja","Año 2004","Agosto","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","41-50 años","41-50 años","Cataluña","Expareja","Año 2005","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","41-50 años","51-60 años","Canarias","Expareja","Año 2016","Agosto","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","41-50 años","51-60 años","Cataluña","Expareja","Año 2003","Junio","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","41-50 años","No consta","Comunitat Valenciana","Expareja","Año 2004","Abril","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","51-60 años","41-50 años","Cataluña","Expareja","Año 2005","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","18-20 años","Andalucía","Pareja","Año 2005","Septiembre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","21-30 años","Andalucía","Expareja","Año 2003","Marzo","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","21-30 años","Castilla y León","Pareja","Año 2005","Mayo","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","21-30 años","Cataluña","Expareja","Año 2005","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","31-40 años","Andalucía","Expareja","Año 2003","Marzo","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","31-40 años","Andalucía","Expareja","Año 2004","Octubre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","31-40 años","Cataluña","Expareja","Año 2003","Enero","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","31-40 años","Galicia","Expareja","Año 2003","Julio","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","31-40 años","Galicia","Pareja","Año 2004","Diciembre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","31-40 años","País Vasco","Expareja","Año 2005","Enero","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","41-50 años","Comunitat Valenciana","Expareja","Año 2004","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","41-50 años","Región de Murcia","Expareja","Año 2005","Enero","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","51-60 años","Castilla y León","Expareja","Año 2003","Noviembre","1.0","0.0"
"España","No hubo tentativa","No","No consta denuncia","No consta","No consta","Región de Murcia","Pareja","Año 2004","Diciembre","1.0","0.0"
"España","No hubo tentativa","No consta","No había denuncia","21-30 años","31-40 años","Andalucía","Pareja","Año 2020","Febrero","1.0","1.0"
"España","No hubo tentativa","No consta","No había denuncia","31-40 años","31-40 años","Andalucía","Pareja","Año 2021","Junio","1.0","0.0"
"España","No hubo tentativa","No consta","No había denuncia","31-40 años","41-50 años","Andalucía","Pareja","Año 2023","Enero","1.0","1.0"
"España","No hubo tentativa","No consta","No había denuncia","41-50 años","41-50 años","Andalucía","Pareja","Año 2009","Marzo","1.0","0.0"
"España","No hubo tentativa","No consta","No había denuncia","41-50 años","41-50 años","Principado de Asturias","Expareja","Año 2020","Febrero","1.0","0.0"
"España","No hubo tentativa","No consta","No había denuncia","51-60 años","41-50 años","Castilla-La Mancha","Pareja","Año 2017","Febrero","1.0","0.0"
"España","No hubo tentativa","No consta","No había denuncia","61-70 años","51-60 años","Castilla y León","Pareja en fase de separación","Año 2018","Julio","1.0","0.0"
"España","No hubo tentativa","No consta","No había denuncia","71-84 años","61-70 años","Comunitat Valenciana","Pareja","Año 2022","Septiembre","1.0","0.0"
"España","No hubo tentativa","No consta","No había denuncia","71-84 años","71-84 años","Andalucía","Pareja en fase de separación","Año 2019","Agosto","1.0","0.0"
"España","No hubo tentativa","No consta","Había denuncia","31-40 años","31-40 años","Andalucía","Pareja","Año 2019","Junio","1.0","1.0"
"España","Suicidio consumado","Sí","No había denuncia","21-30 años","21-30 años","Canarias","Pareja en fase de separación","Año 2007","Mayo","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","21-30 años","31-40 años","Comunitat Valenciana","Pareja","Año 2006","Octubre","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","21-30 años","Canarias","Pareja","Año 2008","Diciembre","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","21-30 años","Castilla-La Mancha","Pareja","Año 2017","Febrero","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","31-40 años","Canarias","Pareja","Año 2006","Agosto","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","31-40 años","Cataluña","Pareja","Año 2012","Enero","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Pareja en fase de separación","Año 2014","Diciembre","1.0","2.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","31-40 años","País Vasco","Pareja","Año 2006","Mayo","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","31-40 años","País Vasco","Pareja","Año 2017","Septiembre","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","41-50 años","Andalucía","Pareja","Año 2006","Enero","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","41-50 años","Andalucía","Pareja","Año 2006","Agosto","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","31-40 años","41-50 años","Andalucía","Pareja","Año 2014","Enero","1.0","0.0"
"España","Suicidio consumado","Sí","No había denuncia","41-50 años","21-30 años","Andalucía","Pareja","Año 2015","Marzo","1.0","1.0"
"España","Suicidio consumado","Sí","No había denuncia","41-50 años","31-40 años","Andalucía","Pareja","Año 2019","Octubre","1.0","1.0"
"España","Suicidio consumado","Sí","No había denuncia","41-50 años","31-40 años","Andalucía","Pareja","Año 2023","Mayo","1.0","2.0"
